iteration,mg,algorithm,episode_reward,display_reward
335,1,F-MADRL,-29459.860079323244,-28317.781608797886
336,1,F-MADRL,-28906.438670005155,-28319.878906081212
337,1,F-MADRL,-28819.670640502118,-28337.170161314472
338,1,F-MADRL,-28609.423398132447,-28334.676591671334
339,1,F-MADRL,-26716.99083534505,-28461.05386993478
340,1,F-MADRL,-29267.481224842348,-28461.769713556878
341,1,F-MADRL,-26318.013483708448,-28391.780243406258
342,1,F-MADRL,-30310.94931815924,-28372.233082025912
343,1,F-MADRL,-27964.91687220676,-28273.19438235868
344,1,F-MADRL,-25920.461791990965,-28225.051820053846
345,1,F-MADRL,-28870.05331166936,-28259.499437219434
346,1,F-MADRL,-27488.38573045448,-28197.252234049123
347,1,F-MADRL,-27635.706537835475,-28140.35050134151
348,1,F-MADRL,-30028.8282905448,-28175.202530238956
349,1,F-MADRL,-27843.16896811332,-28201.92089407901
350,1,F-MADRL,-29223.15640428888,-28219.501951736118
351,1,F-MADRL,-26245.374256964413,-28202.088616703924
352,1,F-MADRL,-26672.7849942166,-28092.768815575364
353,1,F-MADRL,-25332.114534408684,-28057.670568381054
354,1,F-MADRL,-27660.50245939591,-28002.91170294785
355,1,F-MADRL,-27892.960863650034,-27975.414559884346
356,1,F-MADRL,-26681.966691896203,-27997.4732185328
357,1,F-MADRL,-27414.657683026264,-28005.635950029624
358,1,F-MADRL,-29653.939680020834,-27973.283038251717
359,1,F-MADRL,-26579.64592310337,-27900.698105752173
360,1,F-MADRL,-28173.131680759237,-27849.228969809617
361,1,F-MADRL,-26846.51543650533,-27766.832040469624
362,1,F-MADRL,-28082.434582293747,-27737.342598141287
363,1,F-MADRL,-28815.01969710555,-27745.56645010021
364,1,F-MADRL,-27286.30576816218,-27768.3390474129
365,1,F-MADRL,-26794.882425773776,-27669.435095450157
366,1,F-MADRL,-26399.7428855209,-27672.704271522653
367,1,F-MADRL,-26661.70764706753,-27526.734604678983
368,1,F-MADRL,-29095.437729360725,-27571.955438965146
369,1,F-MADRL,-27395.108342024083,-27630.941300966464
370,1,F-MADRL,-26643.218130181427,-27541.867893706953
371,1,F-MADRL,-28477.86051992984,-27581.446885285965
372,1,F-MADRL,-28470.298831440377,-27614.83057703016
373,1,F-MADRL,-27044.17367921304,-27495.444392576886
374,1,F-MADRL,-28532.019416817697,-27522.998410525062
375,1,F-MADRL,-27382.78914634745,-27449.38372020741
376,1,F-MADRL,-28322.79448881008,-27532.480529481232
377,1,F-MADRL,-26367.42629777403,-27520.266181623534
378,1,F-MADRL,-28898.203304474548,-27662.909732426164
379,1,F-MADRL,-26821.68296451924,-27629.356952631097
380,1,F-MADRL,-24621.99264712841,-27498.518223970234
381,1,F-MADRL,-27759.62546020385,-27541.62457470254
382,1,F-MADRL,-28236.023275763648,-27574.47919841204
383,1,F-MADRL,-27506.438584202904,-27488.57915457932
384,1,F-MADRL,-26048.691104142246,-27467.340961820875
385,1,F-MADRL,-25831.663217685287,-27373.682223297918
386,1,F-MADRL,-27788.97207251376,-27411.380488738254
387,1,F-MADRL,-27003.797447981106,-27368.23500336575
388,1,F-MADRL,-26920.915505244036,-27292.47083569129
389,1,F-MADRL,-25158.91942705745,-27207.375382047096
390,1,F-MADRL,-27423.619264356785,-27232.524855590415
391,1,F-MADRL,-26938.90639674807,-27254.091396039505
392,1,F-MADRL,-27523.999300142365,-27288.583062162495
393,1,F-MADRL,-26143.35808551833,-27170.4998764088
394,1,F-MADRL,-27323.5007653256,-27167.635573340864
395,1,F-MADRL,-26284.906488310105,-27153.30310766601
396,1,F-MADRL,-24305.19121247743,-26986.396335367914
397,1,F-MADRL,-22459.4164356615,-26745.96103953676
398,1,F-MADRL,-24983.318592493637,-26663.526836067984
399,1,F-MADRL,-24246.807857065996,-26492.118373677917
400,1,F-MADRL,-25874.453411749084,-26431.784944293984
401,1,F-MADRL,-24167.93288135939,-26265.590479995954
402,1,F-MADRL,-26419.64453979841,-26267.679209676924
403,1,F-MADRL,-25109.30019859255,-26116.12308544165
404,1,F-MADRL,-26432.88797781854,-26100.57128597362
405,1,F-MADRL,-25594.738520884523,-26139.481120923865
406,1,F-MADRL,-25050.150838533827,-26031.102136057067
407,1,F-MADRL,-25143.27612350755,-25907.39224996682
408,1,F-MADRL,-24922.85725744732,-25804.048996896596
409,1,F-MADRL,-25752.467817477147,-25792.20006542999
410,1,F-MADRL,-24300.67667457416,-25730.960603705546
411,1,F-MADRL,-24615.35731078465,-25604.01601323638
412,1,F-MADRL,-27460.36586490154,-25622.2787499132
